dataset,query_id,model,ndcg@10,recall@100,precision@10,reciprocal_rank,average_precision
nfcorpus,PLAIN-1398,bm25,1.0,0.2718446601941747,1.0,1.0,0.25769900002024
nfcorpus,PLAIN-1409,bm25,0.0636207881989517,0.0237154150197628,0.1,0.1,0.0026470464627085
nfcorpus,PLAIN-1419,bm25,0.3148801306676309,0.0307692307692307,0.2,1.0,0.023076923076923
nfcorpus,PLAIN-1429,bm25,0.0,0.0,0.0,0.0039682539682539,0.003235887566481
nfcorpus,PLAIN-143,bm25,0.5055967794435843,0.0784313725490196,0.2,1.0,0.0341668371742719
nfcorpus,PLAIN-1441,bm25,0.4288398090337664,0.1290322580645161,0.4,0.5,0.0596363680449743
nfcorpus,PLAIN-1453,bm25,0.3052348839397011,0.1061224489795918,0.2,1.0,0.1089466156011907
nfcorpus,PLAIN-1463,bm25,0.4035015715464802,0.375,0.3,1.0,0.1385292018175411
nfcorpus,PLAIN-1473,bm25,1.0,1.0,0.1,1.0,1.0
nfcorpus,PLAIN-1485,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1496,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1506,bm25,0.2984900352767555,0.1333333333333333,0.2,1.0,0.0888888888888888
nfcorpus,PLAIN-1516,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1527,bm25,0.8669479898642709,0.1584158415841584,0.8,1.0,0.1430379116083165
nfcorpus,PLAIN-153,bm25,0.4097040910402635,0.2127659574468085,0.6,1.0,0.1260800412133776
nfcorpus,PLAIN-1537,bm25,0.0,0.2,0.0,0.0909090909090909,0.0369446223412358
nfcorpus,PLAIN-1547,bm25,0.0,0.0,0.0,0.0012886597938144,0.0002147766323024
nfcorpus,PLAIN-1557,bm25,0.2781981696179509,0.1538461538461538,0.3,0.3333333333333333,0.0575845722904546
nfcorpus,PLAIN-1568,bm25,1.0,1.0,0.2,1.0,1.0
nfcorpus,PLAIN-1579,bm25,0.3391602052736161,0.2,0.1,1.0,0.2
nfcorpus,PLAIN-1590,bm25,0.2200917662980801,0.2222222222222222,0.1,1.0,0.0697949817812831
nfcorpus,PLAIN-1601,bm25,0.5806020001118017,0.2297297297297297,0.6,0.5,0.1351815413094663
nfcorpus,PLAIN-1611,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1621,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1635,bm25,0.5017100640839688,0.1461716937354988,0.6,0.5,0.1313460420783818
nfcorpus,PLAIN-1645,bm25,0.3026024134988135,0.1666666666666666,0.1,1.0,0.1666666666666666
nfcorpus,PLAIN-165,bm25,0.3237910591480163,0.2777777777777778,0.4,0.5,0.1332735951743622
nfcorpus,PLAIN-1656,bm25,0.0947883643695507,0.0357142857142857,0.1,0.25,0.0171574831130763
nfcorpus,PLAIN-1667,bm25,0.8165901947515999,0.2264150943396226,0.8,1.0,0.1578812550801091
nfcorpus,PLAIN-1679,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1690,bm25,0.0,0.25,0.0,0.0217391304347826,0.0070904117477684
nfcorpus,PLAIN-1700,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1710,bm25,1.0,0.8125,1.0,1.0,0.8125
nfcorpus,PLAIN-1721,bm25,0.6594803070902427,0.1935483870967742,0.6,1.0,0.1544364300112444
nfcorpus,PLAIN-1731,bm25,0.7653606369886217,0.6666666666666666,0.2,1.0,0.6666666666666666
nfcorpus,PLAIN-1741,bm25,1.0,0.1547619047619047,1.0,1.0,0.1344990442222638
nfcorpus,PLAIN-175,bm25,0.3249649487838764,0.1081081081081081,0.3,1.0,0.0966934794830007
nfcorpus,PLAIN-1752,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1762,bm25,0.2685255697426522,0.625,0.2,0.5,0.1877444214400735
nfcorpus,PLAIN-1772,bm25,1.0,1.0,0.2,1.0,1.0
nfcorpus,PLAIN-1784,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1794,bm25,1.0,1.0,0.2,1.0,1.0
nfcorpus,PLAIN-1805,bm25,0.9266360779006398,0.2241379310344827,0.9,1.0,0.2013364239294602
nfcorpus,PLAIN-1817,bm25,0.538431315257452,0.1481481481481481,0.4,1.0,0.1296296296296296
nfcorpus,PLAIN-1827,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1837,bm25,1.0,0.2397959183673469,1.0,1.0,0.220691675379945
nfcorpus,PLAIN-1847,bm25,0.3301376494471202,0.1818181818181818,0.2,1.0,0.1515151515151515
nfcorpus,PLAIN-1857,bm25,0.6274092458891772,0.1818181818181818,0.5,1.0,0.1414594993992652
nfcorpus,PLAIN-186,bm25,0.11004588314904,0.0416666666666666,0.1,0.3333333333333333,0.0149421229867403
nfcorpus,PLAIN-1867,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1877,bm25,0.0,0.0555555555555555,0.0,0.0108695652173913,0.0090708774902554
nfcorpus,PLAIN-1887,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1897,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1909,bm25,1.0,0.0712742980561555,1.0,1.0,0.0548410401203368
nfcorpus,PLAIN-1919,bm25,0.7935840677649109,0.6296296296296297,0.7,1.0,0.4140308358600886
nfcorpus,PLAIN-1929,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1940,bm25,0.3589542101716347,0.1666666666666666,0.2,1.0,0.1666666666666666
nfcorpus,PLAIN-1950,bm25,0.2489083270225946,0.1538461538461538,0.2,0.5,0.0897435897435897
nfcorpus,PLAIN-196,bm25,0.6691255538181726,0.1159420289855072,0.6,1.0,0.0803610046918222
nfcorpus,PLAIN-1962,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1972,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-1983,bm25,1.0,0.5,1.0,1.0,0.4498441942306358
nfcorpus,PLAIN-1995,bm25,0.0,0.0909090909090909,0.0,0.0212765957446808,0.005701115863072
nfcorpus,PLAIN-2,bm25,0.7977097231960363,0.625,0.8,1.0,0.4533355376104974
nfcorpus,PLAIN-2009,bm25,0.1264713513838285,0.125,0.1,0.3333333333333333,0.0416666666666666
nfcorpus,PLAIN-2019,bm25,0.4692787260227564,0.3333333333333333,0.1,1.0,0.3333333333333333
nfcorpus,PLAIN-2030,bm25,0.3026024134988135,0.1666666666666666,0.1,1.0,0.1666666666666666
nfcorpus,PLAIN-2040,bm25,0.7573821447149965,0.0606060606060606,0.7,1.0,0.0492146742146742
nfcorpus,PLAIN-2051,bm25,0.7133080652109928,0.1267605633802817,0.7,1.0,0.1080766622297678
nfcorpus,PLAIN-2061,bm25,0.933745776545611,0.0780487804878048,0.9,1.0,0.0692239200181051
nfcorpus,PLAIN-207,bm25,0.3679212572135327,0.2909090909090909,0.3,1.0,0.1203582239204416
nfcorpus,PLAIN-2071,bm25,0.5810820381115674,0.2,0.5,1.0,0.1321113962290433
nfcorpus,PLAIN-2081,bm25,1.0,1.0,0.1,1.0,1.0
nfcorpus,PLAIN-2092,bm25,0.6489315753318465,0.5,0.5,1.0,0.5
nfcorpus,PLAIN-2102,bm25,0.5352543167750637,0.0973871733966745,0.4,1.0,0.0695887709157004
nfcorpus,PLAIN-2113,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2124,bm25,0.3589542101716347,0.1176470588235294,0.2,1.0,0.1176470588235294
nfcorpus,PLAIN-2134,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2145,bm25,0.1482972305701491,0.1111111111111111,0.1,0.5,0.0570594690359088
nfcorpus,PLAIN-2156,bm25,0.644824486427155,0.5,0.3,1.0,0.5
nfcorpus,PLAIN-2167,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-217,bm25,0.0,0.0555555555555555,0.0,0.0333333333333333,0.0098733572559932
nfcorpus,PLAIN-2177,bm25,0.297271596442057,0.125,0.3,0.5,0.0541666666666666
nfcorpus,PLAIN-2187,bm25,0.3833427799846345,0.2222222222222222,0.2,1.0,0.2222222222222222
nfcorpus,PLAIN-2197,bm25,0.8579809428223729,0.1379310344827586,0.8,1.0,0.1313970990695128
nfcorpus,PLAIN-2209,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2220,bm25,0.2350455494144854,0.1111111111111111,0.1,1.0,0.1111111111111111
nfcorpus,PLAIN-2230,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2240,bm25,0.5517854393872873,0.4545454545454545,0.5,1.0,0.3164502164502165
nfcorpus,PLAIN-2250,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2261,bm25,0.4490337875200924,0.15,0.5,0.5,0.0561772486772486
nfcorpus,PLAIN-227,bm25,0.11004588314904,0.025,0.1,0.3333333333333333,0.0096461428936651
nfcorpus,PLAIN-2271,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2281,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2291,bm25,0.4522136070314881,0.4,0.2,1.0,0.2571428571428571
nfcorpus,PLAIN-23,bm25,0.2932665820246888,0.1222222222222222,0.5,1.0,0.0823580114491397
nfcorpus,PLAIN-2301,bm25,0.0,0.0,0.0,0.003076923076923,0.0002366863905325
nfcorpus,PLAIN-2311,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2321,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2332,bm25,0.5100691314582919,0.134020618556701,0.4,1.0,0.053903922409591
nfcorpus,PLAIN-2343,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2354,bm25,0.5087403079104241,0.4,0.2,1.0,0.3333333333333333
nfcorpus,PLAIN-2364,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2375,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-238,bm25,0.0,0.037037037037037,0.0,0.0303030303030303,0.0080848621473092
nfcorpus,PLAIN-2386,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2396,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2408,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2430,bm25,0.3589542101716347,0.1739130434782608,0.2,1.0,0.0788167533241064
nfcorpus,PLAIN-2440,bm25,0.0,0.0,0.0,0.0078125,0.0018859910040788
nfcorpus,PLAIN-2450,bm25,0.314880130667631,0.1842105263157894,0.2,1.0,0.0753678932363235
nfcorpus,PLAIN-2460,bm25,0.2873431773791807,0.2580645161290322,0.1,1.0,0.0863668707328429
nfcorpus,PLAIN-2470,bm25,0.1413750748245432,0.1917808219178082,0.2,0.2,0.0535342664987482
nfcorpus,PLAIN-248,bm25,0.0947883643695507,0.1612903225806451,0.1,0.25,0.0440531899518274
nfcorpus,PLAIN-2480,bm25,0.2345146442307402,0.3333333333333333,0.3,0.5,0.1157551622077206
nfcorpus,PLAIN-2490,bm25,0.5709902424223862,0.2608695652173913,0.3,1.0,0.1455956037205284
nfcorpus,PLAIN-2500,bm25,0.1256829249040715,0.4285714285714285,0.1,0.1,0.0777575816465866
nfcorpus,PLAIN-2510,bm25,0.8318477135310891,0.5434782608695652,0.8,1.0,0.3356396923137216
nfcorpus,PLAIN-2520,bm25,0.079194502801896,0.136986301369863,0.3,0.25,0.0449431624820982
nfcorpus,PLAIN-2530,bm25,0.9053206285482486,0.3055555555555556,1.0,1.0,0.2801365308002361
nfcorpus,PLAIN-2540,bm25,0.2540090091933497,0.4285714285714285,0.2,1.0,0.1466498085873564
nfcorpus,PLAIN-2550,bm25,0.0,0.2,0.0,0.0769230769230769,0.0353266108958987
nfcorpus,PLAIN-2560,bm25,0.7859162856301584,0.7142857142857143,0.7,1.0,0.4698372789690713
nfcorpus,PLAIN-2570,bm25,0.1601404351965604,0.1,0.1,0.5,0.0209132379895077
nfcorpus,PLAIN-2580,bm25,0.3974825117939154,0.1304347826086956,0.2,1.0,0.0841227194916096
nfcorpus,PLAIN-259,bm25,0.3589542101716347,0.2142857142857142,0.2,1.0,0.14937119705351
nfcorpus,PLAIN-2590,bm25,0.0221462367584597,0.0793650793650793,0.1,0.1,0.0215913754487166
nfcorpus,PLAIN-2600,bm25,0.2270788707939271,0.3,0.2,0.25,0.0633109471470924
nfcorpus,PLAIN-2610,bm25,0.266379247589265,0.1475409836065573,0.2,1.0,0.051455476341906
nfcorpus,PLAIN-2620,bm25,0.266379247589265,0.1818181818181818,0.2,1.0,0.0876561284685243
nfcorpus,PLAIN-2630,bm25,0.4440973278132556,0.2708333333333333,0.3,1.0,0.1331316826011782
nfcorpus,PLAIN-2640,bm25,0.4830218690873669,0.5416666666666666,0.7,1.0,0.3324824443028616
nfcorpus,PLAIN-2650,bm25,0.494639655562801,0.3793103448275862,0.4,1.0,0.1545149032920544
nfcorpus,PLAIN-2660,bm25,0.2426178552850033,0.2222222222222222,0.3,0.25,0.0756667391968447
nfcorpus,PLAIN-2670,bm25,0.3406992958233561,0.1142857142857142,0.1,1.0,0.0407042247985772
nfcorpus,PLAIN-2680,bm25,0.2855599201708855,0.2857142857142857,0.2,0.5,0.1055173632686497
nfcorpus,PLAIN-2690,bm25,0.1157187032279621,0.1162790697674418,0.2,0.5,0.0313888304559413
nfcorpus,PLAIN-270,bm25,0.2200917662980801,0.2115384615384615,0.1,1.0,0.0723251034698575
nfcorpus,PLAIN-2700,bm25,0.2149573227557991,0.3,0.1,0.5,0.080139564177326
nfcorpus,PLAIN-2710,bm25,0.5797960522822956,0.2857142857142857,0.3,1.0,0.1647589412063001
nfcorpus,PLAIN-2720,bm25,0.1314305989328058,0.1944444444444444,0.2,0.5,0.0509777882683552
nfcorpus,PLAIN-2730,bm25,0.2931383856851722,0.3448275862068966,0.4,0.25,0.1016804943082374
nfcorpus,PLAIN-2740,bm25,0.4775498912169242,0.24,0.4,0.5,0.0985418751127271
nfcorpus,PLAIN-2750,bm25,0.5017388706618096,0.2203389830508474,0.6,1.0,0.1258188816057543
nfcorpus,PLAIN-2760,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2770,bm25,0.358465056157868,0.3170731707317073,0.3,1.0,0.1333600111872853
nfcorpus,PLAIN-2780,bm25,0.3503988098744159,0.4090909090909091,0.4,1.0,0.199463014826377
nfcorpus,PLAIN-2790,bm25,0.6421867266689009,0.135593220338983,0.5,1.0,0.1087156852852771
nfcorpus,PLAIN-280,bm25,0.4035015715464802,0.4,0.3,1.0,0.1495242809095592
nfcorpus,PLAIN-2800,bm25,0.0489104000210772,0.125,0.1,0.25,0.0243718212832095
nfcorpus,PLAIN-2810,bm25,0.0433588725289416,0.5,0.1,0.1666666666666666,0.0533031273198179
nfcorpus,PLAIN-2820,bm25,0.0,0.125,0.0,0.0212765957446808,0.0160177826874239
nfcorpus,PLAIN-2830,bm25,0.4581993337160799,0.3333333333333333,0.1,0.5,0.1694296224825449
nfcorpus,PLAIN-2840,bm25,0.0,0.0,0.0,0.00390625,0.0004141791904849
nfcorpus,PLAIN-2850,bm25,0.0,0.0,0.0,0.009090909090909,0.0081223165767258
nfcorpus,PLAIN-2860,bm25,1.0,1.0,0.2,1.0,1.0
nfcorpus,PLAIN-2870,bm25,0.0,0.2,0.0,0.0909090909090909,0.0189481017067223
nfcorpus,PLAIN-2880,bm25,0.0,0.0,0.0,0.0027932960893854,0.0014969412747064
nfcorpus,PLAIN-2890,bm25,0.1773588901300731,0.0344827586206896,0.1,0.2,0.010090134953134
nfcorpus,PLAIN-2900,bm25,0.0897087965267405,0.1666666666666666,0.1,0.1,0.0160908899892801
nfcorpus,PLAIN-291,bm25,0.3589542101716347,0.2307692307692307,0.2,1.0,0.177851154918677
nfcorpus,PLAIN-2910,bm25,0.242496821534539,0.0666666666666666,0.1,0.5,0.0342163355408388
nfcorpus,PLAIN-2920,bm25,0.0,0.1428571428571428,0.0,0.04,0.0062767154105736
nfcorpus,PLAIN-2930,bm25,0.4584660801557625,0.4285714285714285,0.1,1.0,0.1009865714185522
nfcorpus,PLAIN-2940,bm25,0.0,0.0,0.0,0.0087719298245614,0.0056632194105354
nfcorpus,PLAIN-2950,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-2960,bm25,0.3558398982930782,0.5,0.1,0.25,0.1261074197120708
nfcorpus,PLAIN-2970,bm25,0.0,0.0,0.0,0.005050505050505,0.0037041315237102
nfcorpus,PLAIN-2981,bm25,0.591226240967785,0.2857142857142857,0.2,1.0,0.1884881815364624
nfcorpus,PLAIN-2991,bm25,0.3065735963827292,0.5,0.1,0.3333333333333333,0.1666666666666666
nfcorpus,PLAIN-3001,bm25,0.2640681225725909,0.5,0.1,0.25,0.125
nfcorpus,PLAIN-3014,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-3026,bm25,0.3154648767857287,1.0,0.1,0.125,0.125
nfcorpus,PLAIN-3037,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-3053,bm25,0.7653606369886218,0.6666666666666666,0.2,1.0,0.6666666666666666
nfcorpus,PLAIN-3063,bm25,0.0,0.0,0.0,0.0046082949308755,0.0011520737327188
nfcorpus,PLAIN-307,bm25,0.2960819109658653,1.0,0.1,0.5,0.2731092436974789
nfcorpus,PLAIN-3074,bm25,1.0,1.0,0.1,1.0,1.0
nfcorpus,PLAIN-3085,bm25,1.0,1.0,0.2,1.0,1.0
nfcorpus,PLAIN-3097,bm25,0.515157140670655,0.5,0.1,1.0,0.2672413793103448
nfcorpus,PLAIN-3116,bm25,0.0,1.0,0.0,0.0108695652173913,0.0108695652173913
nfcorpus,PLAIN-3131,bm25,0.1321610504869595,0.1666666666666666,0.1,0.1428571428571428,0.0238095238095238
nfcorpus,PLAIN-3141,bm25,0.1025607075444263,0.1764705882352941,0.1,0.1111111111111111,0.0157589283287545
nfcorpus,PLAIN-3151,bm25,0.0,0.5555555555555556,0.0,0.0769230769230769,0.1031575948922869
nfcorpus,PLAIN-3161,bm25,0.5995862423800383,0.3488372093023256,0.4,1.0,0.1479815955386188
nfcorpus,PLAIN-3171,bm25,0.1990662497523487,0.2352941176470588,0.3,0.5,0.066942829957443
nfcorpus,PLAIN-3181,bm25,0.0,0.1111111111111111,0.0,0.0769230769230769,0.010739505243052
nfcorpus,PLAIN-3191,bm25,0.1701986992141033,0.4375,0.3,0.1666666666666666,0.1200750989503122
nfcorpus,PLAIN-320,bm25,0.0,0.1428571428571428,0.0,0.0454545454545454,0.035763849726883
nfcorpus,PLAIN-3201,bm25,0.2966012507966712,0.125,0.3,0.25,0.0337462637410991
nfcorpus,PLAIN-3211,bm25,0.0,0.0,0.0,0.0020491803278688,0.0002436460514444
nfcorpus,PLAIN-3221,bm25,0.0,0.1666666666666666,0.0,0.0434782608695652,0.0115341390121417
nfcorpus,PLAIN-3231,bm25,0.0,0.25,0.0,0.0166666666666666,0.0217516197270813
nfcorpus,PLAIN-3241,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-3251,bm25,0.054436304265575,0.0952380952380952,0.1,0.1666666666666666,0.0168265159665964
nfcorpus,PLAIN-3261,bm25,0.170349647911678,0.1538461538461538,0.1,0.3333333333333333,0.0325676502634367
nfcorpus,PLAIN-3271,bm25,0.0,0.0612244897959183,0.0,0.0526315789473684,0.0169320982565777
nfcorpus,PLAIN-3281,bm25,0.3843483686763148,0.1153846153846153,0.1,1.0,0.0479241167021644
nfcorpus,PLAIN-3292,bm25,0.4825504658293401,0.7142857142857143,0.4,1.0,0.3778800375175167
nfcorpus,PLAIN-33,bm25,0.0889143169249104,0.09375,0.1,0.2,0.018086117388482
nfcorpus,PLAIN-3302,bm25,0.2492419903764366,0.3783783783783784,0.2,1.0,0.1180739191348599
nfcorpus,PLAIN-3312,bm25,0.1128001036946168,0.6153846153846154,0.2,0.2,0.1256939408589955
nfcorpus,PLAIN-332,bm25,0.6131471927654584,0.5,0.1,1.0,0.5
nfcorpus,PLAIN-3322,bm25,0.0851431176416209,0.0759493670886076,0.1,0.2,0.0549453208416793
nfcorpus,PLAIN-3332,bm25,0.3603064121262688,0.6428571428571429,0.3,1.0,0.210540952545683
nfcorpus,PLAIN-3342,bm25,0.7653606369886218,1.0,0.2,1.0,0.6960784313725491
nfcorpus,PLAIN-3352,bm25,0.0,0.1794871794871795,0.0,0.0434782608695652,0.0265232464311227
nfcorpus,PLAIN-3362,bm25,0.6573548268593186,0.2727272727272727,0.3,1.0,0.2727272727272727
nfcorpus,PLAIN-3372,bm25,0.0,0.0,0.0,0.0041493775933609,0.0004417118278065
nfcorpus,PLAIN-3382,bm25,0.2107858714630148,0.2857142857142857,0.3,1.0,0.1300173689175726
nfcorpus,PLAIN-3392,bm25,0.0,0.0869565217391304,0.0,0.05,0.0061264822134387
nfcorpus,PLAIN-3402,bm25,0.0,0.0714285714285714,0.0,0.0212765957446808,0.0056252924573319
nfcorpus,PLAIN-3412,bm25,0.2162450006036177,0.1428571428571428,0.3,1.0,0.0571111182791848
nfcorpus,PLAIN-3422,bm25,0.0241781676919631,0.5806451612903226,0.1,0.1111111111111111,0.1244560070522041
nfcorpus,PLAIN-3432,bm25,0.2832325164972661,0.2142857142857142,0.3,0.3333333333333333,0.0733392082785786
nfcorpus,PLAIN-344,bm25,0.0820084312128365,0.1147540983606557,0.2,0.3333333333333333,0.0359077349625582
nfcorpus,PLAIN-3442,bm25,0.0,0.0689655172413793,0.0,0.0476190476190476,0.0071692722457996
nfcorpus,PLAIN-3452,bm25,0.574874587725796,0.4117647058823529,0.4,1.0,0.2519012655045798
nfcorpus,PLAIN-3462,bm25,0.6975961695061491,0.4375,0.7,1.0,0.2811773322967178
nfcorpus,PLAIN-3472,bm25,0.0,0.0588235294117647,0.0,0.0120481927710843,0.0057967274039732
nfcorpus,PLAIN-358,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-371,bm25,0.118613299431026,1.0,0.1,0.25,0.2083333333333333
nfcorpus,PLAIN-383,bm25,0.1208113026994942,0.2,0.1,0.1666666666666666,0.0358811040339702
nfcorpus,PLAIN-395,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-407,bm25,0.7262287617954056,0.6666666666666666,0.1,1.0,0.3579980842911878
nfcorpus,PLAIN-418,bm25,0.8344475896326595,0.6666666666666666,0.2,1.0,0.5598290598290597
nfcorpus,PLAIN-430,bm25,0.6278760013165627,0.625,0.3,1.0,0.3718948301593957
nfcorpus,PLAIN-44,bm25,0.0,0.2068965517241379,0.0,0.0833333333333333,0.0324715781167044
nfcorpus,PLAIN-441,bm25,0.976513716896422,1.0,0.5,1.0,0.8583333333333332
nfcorpus,PLAIN-457,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-468,bm25,0.2855938966541961,0.7,0.2,0.2,0.1531200080335586
nfcorpus,PLAIN-478,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-488,bm25,0.933745776545611,0.7333333333333333,0.9,1.0,0.7197842328611558
nfcorpus,PLAIN-499,bm25,0.4690000933206748,0.1470588235294117,0.3,1.0,0.097685009487666
nfcorpus,PLAIN-510,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-520,bm25,0.0,0.0,0.0,0.0,0.0
nfcorpus,PLAIN-531,bm25,0.3183191637810562,0.0714285714285714,0.4,0.3333333333333333,0.0276621876947922
nfcorpus,PLAIN-541,bm25,0.3476291110051452,0.5,0.3,0.3333333333333333,0.1715553032388292
nfcorpus,PLAIN-551,bm25,0.0,0.0,0.0,0.0,0.0
